Keyword,N,FA,FR,Precision,Recall,F1-score
COMPANIES,9,0,2,0.778,1.0,0.875
NINETEEN,12,0,3,0.75,1.0,0.857
UNDER,7,3,0,1.0,0.7,0.824
EIGHTY,13,0,0,1.0,1.0,1.0
ALTHOUGH,5,0,1,0.8,1.0,0.889
THEIR,15,0,2,0.867,1.0,0.929
WEAPONS,6,0,0,1.0,1.0,1.0
THESIS,5,0,3,0.4,1.0,0.571
OTHER,14,0,0,1.0,1.0,1.0
WOULD,14,3,1,0.929,0.812,0.867
PEOPLE,8,0,1,0.875,1.0,0.933
THOSE,7,1,2,0.714,0.833,0.769
NUCLEAR,8,0,3,0.625,1.0,0.769
RIGHT,7,1,1,0.857,0.857,0.857
EIGHT,20,3,1,0.95,0.864,0.905
ABOUT,11,0,2,0.818,1.0,0.9
STREET,5,0,2,0.6,1.0,0.75
INFLATION,5,0,2,0.6,1.0,0.75
GROUP,13,0,1,0.923,1.0,0.96
RATES,5,0,0,1.0,1.0,1.0
HOWEVER,8,0,1,0.875,1.0,0.933
LAUNCH,5,0,3,0.4,1.0,0.571
BRITISH,5,0,3,0.4,1.0,0.571
MILLION,15,1,0,1.0,0.938,0.968
SENIOR,7,0,0,1.0,1.0,1.0
WON'T,5,0,2,0.6,1.0,0.75
POINT,18,0,2,0.889,1.0,0.941
AGREED,8,0,1,0.875,1.0,0.933
TRADE,8,0,0,1.0,1.0,1.0
STRUCTURE,13,0,3,0.769,1.0,0.869
EARNINGS,5,0,0,1.0,1.0,1.0
STILL,8,0,1,0.875,1.0,0.933
THREE,18,1,0,1.0,0.947,0.973
INDUSTRY,5,0,3,0.4,1.0,0.571
FIRST,8,0,1,0.875,1.0,0.933
BILLION,8,0,0,1.0,1.0,1.0
SINCE,7,0,4,0.429,1.0,0.6
LOCAL,7,0,1,0.857,1.0,0.923
STOCK,6,0,0,1.0,1.0,1.0
PARTY,6,0,1,0.833,1.0,0.909
FIFTY,13,0,3,0.769,1.0,0.869
ANOTHER,7,0,0,1.0,1.0,1.0
REVIEW,11,0,6,0.455,1.0,0.625
CONCESSIONS,5,0,1,0.8,1.0,0.889
SEVEN,8,0,1,0.875,1.0,0.933
COMPANY,26,0,0,1.0,1.0,1.0
HIGHER,8,0,1,0.875,1.0,0.933
COULD,9,2,0,1.0,0.818,0.9
SALES,9,0,1,0.889,1.0,0.941
AFTER,8,0,2,0.75,1.0,0.857
THERE,14,1,1,0.929,0.929,0.929
SHOULD,8,0,0,1.0,1.0,1.0
DESIGN,5,0,2,0.6,1.0,0.75
STOCKS,7,0,3,0.571,1.0,0.727
PERCENT,18,0,2,0.889,1.0,0.941
PLANS,11,0,2,0.818,1.0,0.9
Precsion,Recall,F1-score
0.8175465407608263,0.9767541825342577,0.8900871439633543
